key,family,variant,horizon_days,parameters,long_total_windows,long_sample_eligible_windows,long_oos_complete_windows,long_oos_eligible_windows,long_weighted_sample_mean_ic,long_median_sample_mean_ic,long_weighted_oos_mean_ic,long_median_oos_mean_ic,long_oos_ic_std_across_windows,long_positive_sample_window_rate,long_positive_oos_window_rate,long_sign_consistency_rate,long_both_positive_rate,long_mean_ic_change,long_mean_absolute_ic_change,short_total_windows,short_sample_eligible_windows,short_oos_complete_windows,short_oos_eligible_windows,short_weighted_sample_mean_ic,short_median_sample_mean_ic,short_weighted_oos_mean_ic,short_median_oos_mean_ic,short_oos_ic_std_across_windows,short_positive_sample_window_rate,short_positive_oos_window_rate,short_sign_consistency_rate,short_both_positive_rate,short_mean_ic_change,short_mean_absolute_ic_change,short_required,long_required,pass_short_data,pass_short_weighted_ic,pass_short_median_ic,pass_short_positive_windows,pass_short_sign_consistency,pass_short,pass_long_data,pass_long_weighted_ic,pass_long_median_ic,pass_long_positive_windows,pass_long_sign_consistency,pass_long,pass_data,pass_weighted_ic,pass_median_ic,pass_positive_windows,pass_sign_consistency,passed_all_basic_conditions
trend|SMA250|h1,trend,SMA250,1,"{""window"": 250}",12,12,12,12,0.0079574352750429,0.009379573,0.009290093597706,0.012521392,0.013358048,1.0,0.75,0.75,0.75,0.0013323710300028,0.0126244431982437,30.0,30.0,30.0,30.0,0.0085938516116388,0.009120767,0.0100162915536279,0.01001809,0.014712682,0.8666666666666667,0.7,0.5666666666666667,0.5666666666666667,0.0014086074506243,0.0155934814363718,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False
trend|SMA250|h5,trend,SMA250,5,"{""window"": 250}",12,12,12,12,0.0045704976455043,0.0037571448,0.0051656700627516,0.010406042,0.026648665,0.9166666666666666,0.5833333333333334,0.5,0.5,0.0005863272041703,0.0249033493067448,30.0,30.0,30.0,30.0,0.0048842274596937,0.0043423977,0.0063194830550783,0.007523771,0.03157551,0.6333333333333333,0.6,0.3,0.2666666666666666,0.0014131654791223,0.0316109520499594,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False
trend|SMA250|h10,trend,SMA250,10,"{""window"": 250}",12,12,12,12,0.001325606292212,-0.001602872,0.0018796679456431,0.00911073,0.03799764,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.1666666666666666,0.0005465219728648,0.0348318590161701,30.0,30.0,30.0,30.0,0.0016421124427465,-0.0017140977,0.0037467677842835,0.008351101,0.04423743,0.4333333333333333,0.5666666666666667,0.4,0.2,0.0020593875087797,0.0433655043132603,True,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False
trend|SMA250|h21,trend,SMA250,21,"{""window"": 250}",12,12,12,12,-0.0017848805139697,-0.0022196532,0.0008759526375402,0.007992457,0.049407396,0.4166666666666667,0.6666666666666666,0.25,0.1666666666666666,0.0026754986029118,0.0423609615148355,30.0,30.0,30.0,30.0,0.0007736043723258,-0.002945565,0.0018132820209137,0.013893818,0.059064485,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.2666666666666666,0.0009154692913095,0.0548678576325376,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA250|h42,trend,SMA250,42,"{""window"": 250}",12,12,12,12,-0.0034600665659661,-0.011429124,-0.0006552727128725,-0.0027254159,0.060212176,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.0833333333333333,0.002847094166403,0.0498227344360202,30.0,30.0,29.0,29.0,-0.002204084972676,-0.00047540508,-0.0025420831297727,0.009370814,0.08243838,0.5,0.5517241379310345,0.4482758620689655,0.2413793103448276,0.0007856574616041,0.0832634470264973,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA250|h63,trend,SMA250,63,"{""window"": 250}",12,12,12,12,-0.001949438957858,-0.0064298417,0.0013221617218883,0.007151637,0.065271735,0.4166666666666667,0.5,0.4166666666666667,0.1666666666666666,0.0033560186469306,0.056570399319753,30.0,30.0,29.0,29.0,-0.0016418044967734,0.004445454,-0.0006204555484011,0.003868165,0.09453005,0.5333333333333333,0.5172413793103449,0.4482758620689655,0.2413793103448276,0.0021736866730297,0.0962027413288837,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA250|h126,trend,SMA250,126,"{""window"": 250}",12,12,12,12,0.001068653104615,-0.0033049686,0.0143948246959354,0.03152064,0.11154242,0.5,0.5833333333333334,0.4166666666666667,0.25,0.0135003351606428,0.1052452507428824,30.0,30.0,29.0,29.0,0.005231232099226,0.0017920884,0.0139340643439271,0.057507027,0.1278144,0.5333333333333333,0.6206896551724138,0.4827586206896552,0.3103448275862069,0.0108282444035184,0.1318168754464593,True,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False
trend|SMA250|h252,trend,SMA250,252,"{""window"": 250}",12,12,11,11,-0.0129262597762945,-0.010972034,0.0068835927701065,0.010360967,0.13617867,0.1666666666666666,0.5454545454545454,0.4545454545454545,0.0909090909090909,0.0210455672984773,0.1241613148965618,,,,,,,,,,,,,,,,False,True,,,,,,True,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA50|h1,trend,SMA50,1,"{""window"": 50}",12,12,12,12,-0.0031677605640363,-0.0029187936,-0.003181322378315,-0.0010904858,0.008958289,0.1666666666666666,0.5,0.5,0.0833333333333333,-1.2309523299336432e-05,0.0082449537391463,30.0,30.0,30.0,30.0,-0.0024020389636784,-0.0021108175,-0.0015927745884149,-0.00056663575,0.013888122,0.3666666666666666,0.5,0.3333333333333333,0.1,0.000795708100001,0.0140031762421131,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA50|h5,trend,SMA50,5,"{""window"": 50}",12,12,12,12,-0.0098855975655816,-0.009625432,-0.009581832393786,-0.0076315673,0.016544929,0.0,0.25,0.75,0.0,0.0003043463996921,0.0149352236573273,30.0,30.0,30.0,30.0,-0.0087931566986533,-0.010419069,-0.0073090435137888,-0.0062774536,0.024449516,0.2333333333333333,0.3666666666666666,0.4,0.0,0.0014425220899283,0.0235457900911569,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
trend|SMA50|h10,trend,SMA50,10,"{""window"": 50}",12,12,12,12,-0.0135783953661685,-0.012871651,-0.0132085710499778,-0.009898653,0.025070777,0.0833333333333333,0.3333333333333333,0.5833333333333334,0.0,0.0003744245817263,0.0232451523964603,30.0,30.0,30.0,30.0,-0.0116101245959087,-0.0120145315,-0.0099590207096831,-0.013804724,0.036885493,0.2,0.3333333333333333,0.5333333333333333,0.0333333333333333,0.0015839826703692,0.0312186770994837,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA50|h21,trend,SMA50,21,"{""window"": 50}",12,12,12,12,-0.017556695200334,-0.01643242,-0.0159915148379618,-0.007515491,0.035505235,0.0833333333333333,0.4166666666666667,0.5,0.0,0.0015838838104779,0.0336862268935268,30.0,30.0,30.0,30.0,-0.0123745605085863,-0.012361086,-0.012895904144455,-0.016236983,0.048229773,0.2666666666666666,0.4333333333333333,0.6333333333333333,0.1666666666666666,-0.0006590178391585,0.0413529158104211,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA50|h42,trend,SMA50,42,"{""window"": 50}",12,12,12,12,-0.0161983576284814,-0.013191637,-0.0158795322115039,-0.011732682,0.04548292,0.1666666666666666,0.4166666666666667,0.4166666666666667,0.0,0.0003208262690653,0.0410265924874693,30.0,30.0,29.0,29.0,-0.0150197438015839,-0.023605231,-0.018243691044463,-0.013257639,0.06531204,0.3333333333333333,0.3793103448275862,0.5172413793103449,0.1034482758620689,-0.0026517511056414,0.0616618231067369,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA50|h63,trend,SMA50,63,"{""window"": 50}",12,12,12,12,-0.0108656792864525,-0.01316742,-0.0106728718200398,-0.0053707724,0.05062748,0.25,0.4166666666666667,0.3333333333333333,0.0,0.0001893447867284,0.0462828946765512,30.0,30.0,29.0,29.0,-0.0121468389073161,-0.017346758,-0.0159490162501336,-0.018826054,0.0718255,0.2333333333333333,0.4137931034482758,0.4827586206896552,0.0689655172413793,-0.0039230942212302,0.0699972277828331,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA50|h126,trend,SMA50,126,"{""window"": 50}",12,12,12,12,-0.0031656565781345,-0.0073197596,0.0087359279110324,0.013064583,0.054365326,0.4166666666666667,0.6666666666666666,0.4166666666666667,0.25,0.0119701670094703,0.0527158934855833,30.0,30.0,29.0,29.0,-0.0044304713811063,0.0011415789,-0.0003132662280177,0.011063939,0.07339317,0.5,0.5172413793103449,0.4482758620689655,0.2413793103448276,0.0040779804232819,0.0761825801355057,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
