family,variant,horizon_days,parameters,observations,mean_ic,std_ic,tstat,positive_rate
momentum,9m-0m,63,"{""skip"": 0, ""window"": 189}",4118,0.010389774714739522,0.18587487864999913,0.6384786336935493,0.5689655172413793
momentum,9m-0m,126,"{""skip"": 0, ""window"": 189}",4055,0.014330999505394298,0.18085462413940415,0.6220365653779614,0.5509247842170161
momentum,9m-0m,252,"{""skip"": 0, ""window"": 189}",3929,0.005983846835567546,0.1757337036462289,0.21506226102673306,0.5342326291677272
momentum,9m-1m,1,"{""skip"": 21, ""window"": 189}",4180,0.011788087431829446,0.22812892420693764,3.341204764792352,0.5327751196172249
momentum,9m-1m,5,"{""skip"": 21, ""window"": 189}",4176,0.009405377052320703,0.22107767156466274,1.5359393043818925,0.5380747126436781
momentum,9m-1m,10,"{""skip"": 21, ""window"": 189}",4171,0.006023670959531722,0.2144885703174287,0.7296241818801421,0.5353632222488612
momentum,9m-1m,21,"{""skip"": 21, ""window"": 189}",4160,0.004627250588302184,0.2023080267523605,0.419875647159654,0.5548076923076923
momentum,9m-1m,42,"{""skip"": 21, ""window"": 189}",4139,0.009100242164924414,0.1900030226179522,0.6541176388942826,0.5491664653297899
momentum,9m-1m,63,"{""skip"": 21, ""window"": 189}",4118,0.011851414929171264,0.18094985850705755,0.7368393626660272,0.5611947547353084
momentum,9m-1m,126,"{""skip"": 21, ""window"": 189}",4055,0.015855321167259562,0.18023899324439305,0.6853302342436814,0.5570900123304562
momentum,9m-1m,252,"{""skip"": 21, ""window"": 189}",3929,0.00605202861222261,0.1723803159640859,0.22199524386818884,0.5243064392975312
momentum,9m-2m,1,"{""skip"": 42, ""window"": 189}",4180,0.01062602149516876,0.21771068782851355,3.1559567027844615,0.531578947368421
momentum,9m-2m,5,"{""skip"": 42, ""window"": 189}",4176,0.009072801386685578,0.2134669173497042,1.5294714528178268,0.5361590038314177
momentum,9m-2m,10,"{""skip"": 42, ""window"": 189}",4171,0.006796157174154243,0.20700669528036902,0.8508743598832461,0.5423159913689762
momentum,9m-2m,21,"{""skip"": 42, ""window"": 189}",4160,0.006861271148526183,0.19603934724487226,0.6420968126759764,0.551923076923077
momentum,9m-2m,42,"{""skip"": 42, ""window"": 189}",4139,0.010511939845222586,0.18523856461176116,0.7649282118922386,0.5409519207538053
momentum,9m-2m,63,"{""skip"": 42, ""window"": 189}",4118,0.014885191149150196,0.18167536140745025,0.8937005858448818,0.554638173870811
momentum,9m-2m,126,"{""skip"": 42, ""window"": 189}",4055,0.016846793478031943,0.18025179707265415,0.7230484880642382,0.5649815043156596
momentum,9m-2m,252,"{""skip"": 42, ""window"": 189}",3929,0.006253999052838344,0.16955112838791692,0.23408537387321043,0.5097989310257063
momentum,12m-0m,1,"{""skip"": 0, ""window"": 252}",4180,0.012044739650629561,0.23642682728000966,3.294130187980492,0.5389952153110048
momentum,12m-0m,5,"{""skip"": 0, ""window"": 252}",4176,0.010740675464095215,0.23065252841324466,1.6748521643398429,0.5366379310344828
momentum,12m-0m,10,"{""skip"": 0, ""window"": 252}",4171,0.007734622510300994,0.2244639026142712,0.8891551629495827,0.5312874610405178
momentum,12m-0m,21,"{""skip"": 0, ""window"": 252}",4160,0.0055912608344218405,0.21366468093316882,0.47567087375103967,0.5461538461538461
momentum,12m-0m,42,"{""skip"": 0, ""window"": 252}",4139,0.00312391437972717,0.2036333453364605,0.19968621857417346,0.5216235805750181
momentum,12m-0m,63,"{""skip"": 0, ""window"": 252}",4118,0.0015341354567109963,0.19494504940358023,0.0845947156033492,0.5257406508013599
momentum,12m-0m,126,"{""skip"": 0, ""window"": 252}",4055,0.007531247945108755,0.18429701820380665,0.3131308975063523,0.5420468557336622
momentum,12m-0m,252,"{""skip"": 0, ""window"": 252}",3929,0.00191886103064905,0.17824082067063934,0.06472448313451427,0.5411046067701706
momentum,12m-1m,1,"{""skip"": 21, ""window"": 252}",4180,0.01388437271311018,0.23410217633445485,3.834960618022741,0.5373205741626794
momentum,12m-1m,5,"{""skip"": 21, ""window"": 252}",4176,0.013388843209901453,0.22786953194031886,2.112651076636431,0.539272030651341
momentum,12m-1m,10,"{""skip"": 21, ""window"": 252}",4171,0.009837368791738438,0.2209104083694836,1.1576594184729478,0.5324862143370894
momentum,12m-1m,21,"{""skip"": 21, ""window"": 252}",4160,0.007099277693565108,0.20618308296073365,0.625333091399074,0.5372596153846154
momentum,12m-1m,42,"{""skip"": 21, ""window"": 252}",4139,0.005742469837000577,0.1982751067992672,0.3767066682819044,0.5211403720705484
momentum,12m-1m,63,"{""skip"": 21, ""window"": 252}",4118,0.0032872811518573687,0.19159863020614132,0.18219840960951791,0.5235551238465275
momentum,12m-1m,126,"{""skip"": 21, ""window"": 252}",4055,0.008810110330592931,0.18504205109595512,0.36175653115312484,0.5393341553637485
momentum,12m-1m,252,"{""skip"": 21, ""window"": 252}",3929,0.001980005506908247,0.17229626791638047,0.06769082506924583,0.544667854415882
momentum,12m-2m,1,"{""skip"": 42, ""window"": 252}",4180,0.012716751282951431,0.22604181856145178,3.6377050326196017,0.5370813397129187
momentum,12m-2m,5,"{""skip"": 42, ""window"": 252}",4176,0.012982159739076566,0.22191126821979446,2.0930803047698907,0.5404693486590039
momentum,12m-2m,10,"{""skip"": 42, ""window"": 252}",4171,0.010343397838054111,0.21628524482844616,1.240120355696013,0.53752097818269
momentum,12m-2m,21,"{""skip"": 42, ""window"": 252}",4160,0.008773181260902,0.20184652907843134,0.7871844068366418,0.5370192307692307
