factor_key,horizon_days,quantile,average_count,average_factor_score,average_return,median_daily_return
momentum|3m-1m,126,4,40.514470222434824,-0.3102058,0.06877007,0.06425494
momentum|3m-1m,126,5,40.65869409232241,-0.08030362,0.066992596,0.06282831
momentum|3m-1m,126,6,40.303276728055486,0.13602903,0.0671394,0.06272247
momentum|3m-1m,126,7,40.464003826835686,0.35510677,0.06849814,0.0629392
momentum|3m-1m,126,8,40.483616359722554,0.60022867,0.06938193,0.06380543
momentum|3m-1m,126,9,40.4477397751734,0.9197976,0.06740794,0.05980227
momentum|3m-1m,126,10,40.883281511600096,1.6910715,0.07902427,0.06103198
momentum|3m-1m,252,1,38.5591963645061,-1.8442956,0.14953454,0.118794754
momentum|3m-1m,252,2,38.99282468309017,-0.93382776,0.14604482,0.12485393
momentum|3m-1m,252,3,38.95455632623774,-0.57493395,0.14245841,0.12773097
momentum|3m-1m,252,4,39.00310930399426,-0.309574,0.14007095,0.12775986
momentum|3m-1m,252,5,39.13704855297776,-0.07900157,0.1377291,0.12648138
momentum|3m-1m,252,6,38.80602726620426,0.137812,0.13753636,0.12493252
momentum|3m-1m,252,7,38.9646017699115,0.3571704,0.13970263,0.12688799
momentum|3m-1m,252,8,38.99091126524755,0.6022794,0.14372243,0.12895858
momentum|3m-1m,252,9,38.95623056685004,0.9209729,0.14272,0.12612271
momentum|3m-1m,252,10,39.35159052858168,1.6876459,0.15479264,0.11824263
momentum|6m-0m,1,1,41.521167184884,-1.8511566,0.0006940234,0.00043324401
momentum|6m-0m,1,2,41.983975125568044,-0.9340634,0.0006165526,0.00052105566
momentum|6m-0m,1,3,41.9170055010763,-0.57066864,0.0005841217,0.00052539085
momentum|6m-0m,1,4,41.99904329107869,-0.30192366,0.00055063446,0.0005487815
momentum|6m-0m,1,5,42.08538627122698,-0.07491039,0.00055262126,0.00055662525
momentum|6m-0m,1,6,41.79095910069361,0.13891265,0.0005754823,0.0006228963
momentum|6m-0m,1,7,41.9170055010763,0.35613278,0.0005688479,0.00054131384
momentum|6m-0m,1,8,42.0,0.598362,0.000568771,0.00061684864
momentum|6m-0m,1,9,41.90098062664434,0.9147984,0.0005520878,0.00054950884
momentum|6m-0m,1,10,42.41210236785458,1.689561,0.0005925214,0.00045362057
momentum|6m-0m,5,1,41.474288447739774,-1.8513631,0.0032967778,0.002933601
momentum|6m-0m,5,2,41.9351829705812,-0.9341452,0.0030845648,0.0028778776
momentum|6m-0m,5,3,41.868930877780436,-0.57069606,0.0028407201,0.002740186
momentum|6m-0m,5,4,41.9507294905525,-0.3019084,0.0027736102,0.0026533343
momentum|6m-0m,5,5,42.03779000239177,-0.07484454,0.0027512948,0.0027203716
momentum|6m-0m,5,6,41.7424061229371,0.13901675,0.0028566737,0.0028788056
momentum|6m-0m,5,7,41.868930877780436,0.3562714,0.0028825237,0.0027238876
momentum|6m-0m,5,8,41.95168619947381,0.59851027,0.002733354,0.0027821688
momentum|6m-0m,5,9,41.85194929442717,0.9149372,0.0026533622,0.0025620104
momentum|6m-0m,5,10,42.36020090887347,1.6892372,0.0029931506,0.0024458386
momentum|6m-0m,10,1,41.4156900263095,-1.8515998,0.0062483726,0.0056640627
momentum|6m-0m,10,2,41.875388662999285,-0.93422365,0.006129265,0.0060419803
momentum|6m-0m,10,3,41.8081798612772,-0.570747,0.005821699,0.005374949
momentum|6m-0m,10,4,41.890456828509926,-0.30192298,0.0054762466,0.0051652356
momentum|6m-0m,10,5,41.977995694809856,-0.074778356,0.0055750404,0.005495093
momentum|6m-0m,10,6,41.68141592920354,0.13915803,0.0056668455,0.0055789887
momentum|6m-0m,10,7,41.80913657019852,0.35647064,0.0055815317,0.005473691
momentum|6m-0m,10,8,41.890456828509926,0.59871185,0.0052623665,0.004977738
momentum|6m-0m,10,9,41.790719923463286,0.91506886,0.005155377,0.004845669
momentum|6m-0m,10,10,42.296101411145656,1.6888528,0.0059613134,0.0048735254
momentum|6m-0m,21,1,41.28677349916288,-1.8518077,0.0122424,0.011685531
momentum|6m-0m,21,2,41.744797895240374,-0.93422097,0.012721748,0.012199561
momentum|6m-0m,21,3,41.676632384596985,-0.57076097,0.012019581,0.011446104
momentum|6m-0m,21,4,41.75819182013872,-0.30202276,0.0118299695,0.011066855
momentum|6m-0m,21,5,41.84596986366898,-0.074871324,0.011894368,0.011432027
momentum|6m-0m,21,6,41.55010762975365,0.13922022,0.012194881,0.011819292
momentum|6m-0m,21,7,41.67615403013633,0.35668722,0.011779407,0.011294745
momentum|6m-0m,21,8,41.75675675675676,0.59905046,0.011149657,0.010822457
momentum|6m-0m,21,9,41.656541497249464,0.91534185,0.01059156,0.009412014
momentum|6m-0m,21,10,42.15426931356135,1.6883097,0.012976409,0.010185071
momentum|6m-0m,42,1,41.04089930638603,-1.8526038,0.02314145,0.019668078
momentum|6m-0m,42,2,41.49294427170533,-0.9344946,0.024122972,0.022924935
momentum|6m-0m,42,3,41.423822052140636,-0.57089007,0.024125692,0.022753067
momentum|6m-0m,42,4,41.502989715379094,-0.30217236,0.023924818,0.022461109
momentum|6m-0m,42,5,41.59411624013394,-0.07493563,0.023941187,0.022844575
momentum|6m-0m,42,6,41.300406601291556,0.13942285,0.02393929,0.023364037
momentum|6m-0m,42,7,41.423822052140636,0.35725775,0.023712587,0.022954553
momentum|6m-0m,42,8,41.50155465199713,0.599947,0.022189047,0.020247875
momentum|6m-0m,42,9,41.39918679741689,0.91643345,0.02125126,0.018597828
momentum|6m-0m,42,10,41.88567328390337,1.6868314,0.02640977,0.021128878
momentum|6m-0m,63,1,40.794307581918204,-1.853944,0.034178756,0.02697271
momentum|6m-0m,63,2,41.240133939248985,-0.93453646,0.034424894,0.031216925
momentum|6m-0m,63,3,41.17149007414494,-0.5709529,0.03572535,0.033325803
momentum|6m-0m,63,4,41.25041856015307,-0.30216232,0.03537401,0.033776645
momentum|6m-0m,63,5,41.3422626165989,-0.07469638,0.035098296,0.03267706
momentum|6m-0m,63,6,41.05142310452045,0.13985233,0.035192303,0.033691574
momentum|6m-0m,63,7,41.17077254245396,0.35795027,0.03456674,0.032945957
momentum|6m-0m,63,8,41.24324324324324,0.60086125,0.032958757,0.03003185
momentum|6m-0m,63,9,41.1435063381966,0.91714525,0.031728644,0.0275441
momentum|6m-0m,63,10,41.61827314039704,1.6853385,0.04004857,0.032241806
momentum|6m-0m,126,1,40.05118392729012,-1.8570844,0.06800503,0.05296172
momentum|6m-0m,126,2,40.46854819421191,-0.9353913,0.06731738,0.061150588
momentum|6m-0m,126,3,40.418081798612775,-0.57131124,0.06891539,0.06292086
momentum|6m-0m,126,4,40.49748863908156,-0.3020926,0.06781144,0.0627149
momentum|6m-0m,126,5,40.57641712508969,-0.07411589,0.06734134,0.06179927
momentum|6m-0m,126,6,40.29634058837598,0.14089184,0.06810822,0.06324989
momentum|6m-0m,126,7,40.4140157856972,0.35958162,0.06807009,0.06254113
momentum|6m-0m,126,8,40.49294427170533,0.60278326,0.06749325,0.060237575
momentum|6m-0m,126,9,40.387227935900505,0.9192517,0.067305684,0.061614994
momentum|6m-0m,126,10,40.84381726859603,1.6822792,0.08340594,0.065845825
momentum|6m-0m,252,1,38.51997129873236,-1.8621019,0.14840823,0.11495198
momentum|6m-0m,252,2,38.96914613728773,-0.93713003,0.1471251,0.12811884
momentum|6m-0m,252,3,38.915570437694335,-0.5714768,0.14572722,0.1301938
momentum|6m-0m,252,4,38.995455632623774,-0.30123916,0.13945769,0.12653443
momentum|6m-0m,252,5,39.06457785218847,-0.07216207,0.14019752,0.12757011
momentum|6m-0m,252,6,38.803635493900984,0.14365593,0.1411192,0.12844959
momentum|6m-0m,252,7,38.91724467830662,0.36289352,0.14008065,0.12669261
momentum|6m-0m,252,8,38.97847404927051,0.6061421,0.13766131,0.123907566
momentum|6m-0m,252,9,38.88639081559435,0.92157954,0.13712068,0.122706465
momentum|6m-0m,252,10,39.326955273857926,1.6759477,0.15662211,0.12055141
momentum|6m-1m,1,1,41.518536235350396,-1.8447614,0.0006313973,0.00040921126
momentum|6m-1m,1,2,41.982300884955755,-0.9359816,0.0006185251,0.00054250186
momentum|6m-1m,1,3,41.909830184166466,-0.57246387,0.0005914768,0.000524737
momentum|6m-1m,1,4,42.00071753169098,-0.30466568,0.00059924065,0.0005635785
momentum|6m-1m,1,5,42.077254245395835,-0.07667592,0.00053822773,0.00053176266
momentum|6m-1m,1,6,41.78808897392968,0.1374811,0.0005315599,0.0005539974
momentum|6m-1m,1,7,41.91724467830662,0.35477513,0.00056976406,0.00056054
momentum|6m-1m,1,8,41.994020569241805,0.59864306,0.0005546811,0.0005867577
momentum|6m-1m,1,9,41.89667543649845,0.9154746,0.00056178815,0.0005969709
momentum|6m-1m,1,10,42.410428127242284,1.6932342,0.00065763545,0.0005641428
